date,body,doc_type,extraction,path
2006-01-03,BOS,agenda,ok,BOS/2006/2006-01-03_BOS_agenda_983.md
2006-01-17,BOS,agenda,ok,BOS/2006/2006-01-17_BOS_agenda_946.md
2006-01-17,BOS,agenda,ok,BOS/2006/2006-01-17_BOS_agenda_984.md
2006-02-06,BOS,agenda,ok,BOS/2006/2006-02-06_BOS_agenda_947.md
2006-02-06,BOS,agenda,ok,BOS/2006/2006-02-06_BOS_agenda_985.md
2006-02-21,BOS,agenda,ok,BOS/2006/2006-02-21_BOS_agenda_948.md
2006-02-21,BOS,agenda,ok,BOS/2006/2006-02-21_BOS_agenda_986.md
2006-02-22,BOS,agenda,ok,BOS/2006/2006-02-22_BOS_agenda_949.md
2006-02-22,BOS,agenda,ok,BOS/2006/2006-02-22_BOS_agenda_987.md
2006-03-13,BOS,agenda,ok,BOS/2006/2006-03-13_BOS_agenda_950.md
2006-03-13,BOS,agenda,ok,BOS/2006/2006-03-13_BOS_agenda_988.md
2006-03-20,BOS,agenda,ok,BOS/2006/2006-03-20_BOS_agenda_951.md
2006-03-20,BOS,agenda,ok,BOS/2006/2006-03-20_BOS_agenda_989.md
2006-04-03,BOS,agenda,ok,BOS/2006/2006-04-03_BOS_agenda_952.md
2006-04-03,BOS,agenda,ok,BOS/2006/2006-04-03_BOS_agenda_990.md
2006-04-17,BOS,agenda,ok,BOS/2006/2006-04-17_BOS_agenda_953.md
2006-04-17,BOS,agenda,ok,BOS/2006/2006-04-17_BOS_agenda_991.md
2006-05-01,BOS,agenda,ok,BOS/2006/2006-05-01_BOS_agenda_954.md
2006-05-01,BOS,agenda,ok,BOS/2006/2006-05-01_BOS_agenda_992.md
2006-05-15,BOS,agenda,ok,BOS/2006/2006-05-15_BOS_agenda_955.md
2006-05-15,BOS,agenda,ok,BOS/2006/2006-05-15_BOS_agenda_993.md
2006-05-31,BOS,agenda,ok,BOS/2006/2006-05-31_BOS_agenda_956.md
2006-05-31,BOS,agenda,ok,BOS/2006/2006-05-31_BOS_agenda_994.md
2006-06-05,BOS,agenda,ok,BOS/2006/2006-06-05_BOS_agenda_957.md
2006-06-05,BOS,agenda,ok,BOS/2006/2006-06-05_BOS_agenda_995.md
2006-06-13,BOS,agenda,ok,BOS/2006/2006-06-13_BOS_agenda_958.md
2006-06-19,BOS,agenda,ok,BOS/2006/2006-06-19_BOS_agenda_959.md
2006-06-19,BOS,agenda,ok,BOS/2006/2006-06-19_BOS_agenda_996.md
2006-06-26,BOS,agenda,ok,BOS/2006/2006-06-26_BOS_agenda_960.md
2006-07-10,BOS,agenda,ok,BOS/2006/2006-07-10_BOS_agenda_961.md
2006-07-10,BOS,agenda,ok,BOS/2006/2006-07-10_BOS_agenda_997.md
